name,iso_a3,currency_code,local_price,dollar_ex,date
Brazil,BRA,BRL,9.5,1.5416,2011/7/1
Britain,GBR,GBP,2.39,0.614137444,2011/7/1
Canada,CAN,CAD,4.73,0.94585,2011/7/1
Chile,CHL,CLP,1850.0,462.75,2011/7/1
China,CHN,CNY,14.65,6.445,2011/7/1
Colombia,COL,COP,8400.0,1770.5,2011/7/1
Costa Rica,CRI,CRC,2050.0,504.305,2011/7/1
Czech Republic,CZE,CZK,69.32,17.0219,2011/7/1
Denmark,DNK,DKK,28.5,5.19845,2011/7/1
Egypt,EGY,EGP,14.09,5.962000000000001,2011/7/1
Estonia,EST,EUR,2.2,0.697520315,2011/7/1
